Timestamp,Title,Image URL,Image Upload Thumbnail,Image URL Thmbnail,Image Upload,Orientation,Difficulty,Theme,Artist,Year,Location,Movement,Location,Id,Thumbnail,Approved
,Mona Lisa,https://upload.wikimedia.org/wikipedia/commons/6/6a/Mona_Lisa.jpg,https://drive.google.com/file/d/13ByLt0Kh9D8vFe0jNi8qNPJJrhcf-Ej6/view?usp=drivesdk,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Mona_Lisa.jpg/120px-Mona_Lisa.jpg,,Portrait,Medium,Portrait,Leonardo da Vinci,1503,,Renaissance,"Louvre, Paris",13ByLt0Kh9D8vFe0jNi8qNPJJrhcf-Ej6,https://drive.google.com/thumbnail?id=13ByLt0Kh9D8vFe0jNi8qNPJJrhcf-Ej6&sz=w200,TRUE
,The Last Supper,https://upload.wikimedia.org/wikipedia/commons/4/4b/Leonardo_da_Vinci_-_The_Last_Supper_high_res.jpg,https://drive.google.com/file/d/10BjuseXvqkrCOTDVcXiJlqPsHrSPb4O2/view?usp=drivesdk,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Leonardo_da_Vinci_-_The_Last_Supper_high_res.jpg/120px-Leonardo_da_Vinci_-_The_Last_Supper_high_res.jpg,,Landscape,Hard,Religious,Leonardo da Vinci,1498,,Renaissance,"Santa Maria delle Grazie, Milan",10BjuseXvqkrCOTDVcXiJlqPsHrSPb4O2,https://drive.google.com/thumbnail?id=10BjuseXvqkrCOTDVcXiJlqPsHrSPb4O2&sz=w200,TRUE
,The Starry Night,https://upload.wikimedia.org/wikipedia/commons/e/ea/The_Starry_Night.jpg,https://drive.google.com/file/d/1t266ZMdLKdwGVNAWCQr_FHchJAf_FDeq/view?usp=drivesdk,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/The_Starry_Night.jpg/120px-The_Starry_Night.jpg,,Landscape,Medium,Night / Emotion,Vincent van Gogh,1889,,Post-Impressionism,"Museum of Modern Art, New York",1t266ZMdLKdwGVNAWCQr_FHchJAf_FDeq,https://drive.google.com/thumbnail?id=1t266ZMdLKdwGVNAWCQr_FHchJAf_FDeq&sz=w200,TRUE
,The Scream,https://upload.wikimedia.org/wikipedia/commons/f/f4/The_Scream.jpg,https://drive.google.com/file/d/1OH5G_AxUyzrXH1Sm7E0mgKh-6Qkyboyq/view?usp=drivesdk,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/The_Scream.jpg/120px-The_Scream.jpg,,Portrait,Medium,Emotion,Edvard Munch,1893,,Expressionism,"National Museum, Oslo",1OH5G_AxUyzrXH1Sm7E0mgKh-6Qkyboyq,https://drive.google.com/thumbnail?id=1OH5G_AxUyzrXH1Sm7E0mgKh-6Qkyboyq&sz=w200,TRUE
,Girl with a Pearl Earring,https://upload.wikimedia.org/wikipedia/commons/d/d7/Meisje_met_de_parel.jpg,https://drive.google.com/file/d/1Dg7arENQKaM-c7g21iKjilE7QefUuJdi/view?usp=drivesdk,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Meisje_met_de_parel.jpg/120px-Meisje_met_de_parel.jpg,,Portrait,Easy,Portrait,Johannes Vermeer,1665,,Baroque,"Mauritshuis, The Hague",1Dg7arENQKaM-c7g21iKjilE7QefUuJdi,https://drive.google.com/thumbnail?id=1Dg7arENQKaM-c7g21iKjilE7QefUuJdi&sz=w200,TRUE
,Guernica,https://upload.wikimedia.org/wikipedia/en/7/74/PicassoGuernica.jpg,https://drive.google.com/file/d/12VrveOHJ5745-OShhiIHrfqHJxaVoiza/view?usp=drivesdk,,,Landscape,Hard,War,Pablo Picasso,1937,,Cubism,"Museo Reina Sofía, Madrid",12VrveOHJ5745-OShhiIHrfqHJxaVoiza,https://drive.google.com/thumbnail?id=12VrveOHJ5745-OShhiIHrfqHJxaVoiza&sz=w200,TRUE
,The Persistence of Memory,https://upload.wikimedia.org/wikipedia/en/d/dd/The_Persistence_of_Memory.jpg,https://drive.google.com/file/d/1KpVQd0QTo4MnrVnQBGuc_kzh0ZuQyWl1/view?usp=drivesdk,,,Landscape,Medium,Time / Dream,Salvador Dalí,1931,,Surrealism,"Museum of Modern Art, New York",1KpVQd0QTo4MnrVnQBGuc_kzh0ZuQyWl1,https://drive.google.com/thumbnail?id=1KpVQd0QTo4MnrVnQBGuc_kzh0ZuQyWl1&sz=w200,TRUE
,American Gothic,https://upload.wikimedia.org/wikipedia/commons/0/0a/Grant_Wood_-_American_Gothic_-_Google_Art_Project.jpg,https://drive.google.com/file/d/1lUlHWyCqEXgoDTQZaliTUIRang2eqrtr/view?usp=drivesdk,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Grant_Wood_-_American_Gothic_-_Google_Art_Project.jpg/120px-Grant_Wood_-_American_Gothic_-_Google_Art_Project.jpg,,Portrait,Easy,Rural Life,Grant Wood,1930,,Regionalism,Art Institute of Chicago,1lUlHWyCqEXgoDTQZaliTUIRang2eqrtr,https://drive.google.com/thumbnail?id=1lUlHWyCqEXgoDTQZaliTUIRang2eqrtr&sz=w200,TRUE
,The Night Watch,https://upload.wikimedia.org/wikipedia/commons/2/28/The_Nightwatch_by_Rembrandt.jpg,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/The_Nightwatch_by_Rembrandt.jpg/120px-The_Nightwatch_by_Rembrandt.jpg,,Landscape,Hard,Historical,Rembrandt,1642,,Baroque,"Rijksmuseum, Amsterdam",,,TRUE
,The Birth of Venus,https://upload.wikimedia.org/wikipedia/commons/1/1c/Birth_of_Venus_Botticelli.jpg,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Birth_of_Venus_Botticelli.jpg/120px-Birth_of_Venus_Botticelli.jpg,,Landscape,Medium,Mythology,Sandro Botticelli,1486,,Renaissance,"Uffizi Gallery, Florence",,,TRUE
,Mona Lisa,https://upload.wikimedia.org/wikipedia/commons/6/6a/Mona_Lisa.jpg,https://drive.google.com/file/d/13ByLt0Kh9D8vFe0jNi8qNPJJrhcf-Ej6/view?usp=drivesdk,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Mona_Lisa.jpg/120px-Mona_Lisa.jpg,,Portrait,Medium,Portrait,Leonardo da Vinci,1503,,Renaissance,"Louvre, Paris",13ByLt0Kh9D8vFe0jNi8qNPJJrhcf-Ej6,https://drive.google.com/thumbnail?id=13ByLt0Kh9D8vFe0jNi8qNPJJrhcf-Ej6&sz=w200,TRUE
,The Last Supper,https://upload.wikimedia.org/wikipedia/commons/4/4b/Leonardo_da_Vinci_-_The_Last_Supper_high_res.jpg,https://drive.google.com/file/d/10BjuseXvqkrCOTDVcXiJlqPsHrSPb4O2/view?usp=drivesdk,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Leonardo_da_Vinci_-_The_Last_Supper_high_res.jpg/120px-Leonardo_da_Vinci_-_The_Last_Supper_high_res.jpg,,Landscape,Hard,Religious,Leonardo da Vinci,1498,,Renaissance,"Santa Maria delle Grazie, Milan",10BjuseXvqkrCOTDVcXiJlqPsHrSPb4O2,https://drive.google.com/thumbnail?id=10BjuseXvqkrCOTDVcXiJlqPsHrSPb4O2&sz=w200,TRUE
,The Starry Night,https://upload.wikimedia.org/wikipedia/commons/e/ea/The_Starry_Night.jpg,https://drive.google.com/file/d/1t266ZMdLKdwGVNAWCQr_FHchJAf_FDeq/view?usp=drivesdk,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/The_Starry_Night.jpg/120px-The_Starry_Night.jpg,,Landscape,Medium,Night / Emotion,Vincent van Gogh,1889,,Post-Impressionism,"Museum of Modern Art, New York",1t266ZMdLKdwGVNAWCQr_FHchJAf_FDeq,https://drive.google.com/thumbnail?id=1t266ZMdLKdwGVNAWCQr_FHchJAf_FDeq&sz=w200,TRUE
,The Scream,https://upload.wikimedia.org/wikipedia/commons/f/f4/The_Scream.jpg,https://drive.google.com/file/d/1OH5G_AxUyzrXH1Sm7E0mgKh-6Qkyboyq/view?usp=drivesdk,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/The_Scream.jpg/120px-The_Scream.jpg,,Portrait,Medium,Emotion,Edvard Munch,1893,,Expressionism,"National Museum, Oslo",1OH5G_AxUyzrXH1Sm7E0mgKh-6Qkyboyq,https://drive.google.com/thumbnail?id=1OH5G_AxUyzrXH1Sm7E0mgKh-6Qkyboyq&sz=w200,TRUE
,Girl with a Pearl Earring,https://upload.wikimedia.org/wikipedia/commons/d/d7/Meisje_met_de_parel.jpg,https://drive.google.com/file/d/1Dg7arENQKaM-c7g21iKjilE7QefUuJdi/view?usp=drivesdk,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Meisje_met_de_parel.jpg/120px-Meisje_met_de_parel.jpg,,Portrait,Easy,Portrait,Johannes Vermeer,1665,,Baroque,"Mauritshuis, The Hague",1Dg7arENQKaM-c7g21iKjilE7QefUuJdi,https://drive.google.com/thumbnail?id=1Dg7arENQKaM-c7g21iKjilE7QefUuJdi&sz=w200,TRUE
,Guernica,https://upload.wikimedia.org/wikipedia/en/7/74/PicassoGuernica.jpg,https://drive.google.com/file/d/12VrveOHJ5745-OShhiIHrfqHJxaVoiza/view?usp=drivesdk,,,Landscape,Hard,War,Pablo Picasso,1937,,Cubism,"Museo Reina Sofía, Madrid",12VrveOHJ5745-OShhiIHrfqHJxaVoiza,https://drive.google.com/thumbnail?id=12VrveOHJ5745-OShhiIHrfqHJxaVoiza&sz=w200,TRUE
,The Persistence of Memory,https://upload.wikimedia.org/wikipedia/en/d/dd/The_Persistence_of_Memory.jpg,https://drive.google.com/file/d/1KpVQd0QTo4MnrVnQBGuc_kzh0ZuQyWl1/view?usp=drivesdk,,,Landscape,Medium,Time / Dream,Salvador Dalí,1931,,Surrealism,"Museum of Modern Art, New York",1KpVQd0QTo4MnrVnQBGuc_kzh0ZuQyWl1,https://drive.google.com/thumbnail?id=1KpVQd0QTo4MnrVnQBGuc_kzh0ZuQyWl1&sz=w200,TRUE
,American Gothic,https://upload.wikimedia.org/wikipedia/commons/0/0a/Grant_Wood_-_American_Gothic_-_Google_Art_Project.jpg,https://drive.google.com/file/d/1lUlHWyCqEXgoDTQZaliTUIRang2eqrtr/view?usp=drivesdk,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Grant_Wood_-_American_Gothic_-_Google_Art_Project.jpg/120px-Grant_Wood_-_American_Gothic_-_Google_Art_Project.jpg,,Portrait,Easy,Rural Life,Grant Wood,1930,,Regionalism,Art Institute of Chicago,1lUlHWyCqEXgoDTQZaliTUIRang2eqrtr,https://drive.google.com/thumbnail?id=1lUlHWyCqEXgoDTQZaliTUIRang2eqrtr&sz=w200,TRUE
,The Night Watch,https://upload.wikimedia.org/wikipedia/commons/2/28/The_Nightwatch_by_Rembrandt.jpg,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/The_Nightwatch_by_Rembrandt.jpg/120px-The_Nightwatch_by_Rembrandt.jpg,,Landscape,Hard,Historical,Rembrandt,1642,,Baroque,"Rijksmuseum, Amsterdam",,,TRUE
,The Birth of Venus,https://upload.wikimedia.org/wikipedia/commons/1/1c/Birth_of_Venus_Botticelli.jpg,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Birth_of_Venus_Botticelli.jpg/120px-Birth_of_Venus_Botticelli.jpg,,Landscape,Medium,Mythology,Sandro Botticelli,1486,,Renaissance,"Uffizi Gallery, Florence",,,TRUE
,Mona Lisa,https://upload.wikimedia.org/wikipedia/commons/6/6a/Mona_Lisa.jpg,https://drive.google.com/file/d/13ByLt0Kh9D8vFe0jNi8qNPJJrhcf-Ej6/view?usp=drivesdk,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Mona_Lisa.jpg/120px-Mona_Lisa.jpg,,Portrait,Medium,Portrait,Leonardo da Vinci,1503,,Renaissance,"Louvre, Paris",13ByLt0Kh9D8vFe0jNi8qNPJJrhcf-Ej6,https://drive.google.com/thumbnail?id=13ByLt0Kh9D8vFe0jNi8qNPJJrhcf-Ej6&sz=w200,TRUE
,The Last Supper,https://upload.wikimedia.org/wikipedia/commons/4/4b/Leonardo_da_Vinci_-_The_Last_Supper_high_res.jpg,https://drive.google.com/file/d/10BjuseXvqkrCOTDVcXiJlqPsHrSPb4O2/view?usp=drivesdk,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Leonardo_da_Vinci_-_The_Last_Supper_high_res.jpg/120px-Leonardo_da_Vinci_-_The_Last_Supper_high_res.jpg,,Landscape,Hard,Religious,Leonardo da Vinci,1498,,Renaissance,"Santa Maria delle Grazie, Milan",10BjuseXvqkrCOTDVcXiJlqPsHrSPb4O2,https://drive.google.com/thumbnail?id=10BjuseXvqkrCOTDVcXiJlqPsHrSPb4O2&sz=w200,TRUE
,The Starry Night,https://upload.wikimedia.org/wikipedia/commons/e/ea/The_Starry_Night.jpg,https://drive.google.com/file/d/1t266ZMdLKdwGVNAWCQr_FHchJAf_FDeq/view?usp=drivesdk,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/The_Starry_Night.jpg/120px-The_Starry_Night.jpg,,Landscape,Medium,Night / Emotion,Vincent van Gogh,1889,,Post-Impressionism,"Museum of Modern Art, New York",1t266ZMdLKdwGVNAWCQr_FHchJAf_FDeq,https://drive.google.com/thumbnail?id=1t266ZMdLKdwGVNAWCQr_FHchJAf_FDeq&sz=w200,TRUE
,The Scream,https://upload.wikimedia.org/wikipedia/commons/f/f4/The_Scream.jpg,https://drive.google.com/file/d/1OH5G_AxUyzrXH1Sm7E0mgKh-6Qkyboyq/view?usp=drivesdk,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/The_Scream.jpg/120px-The_Scream.jpg,,Portrait,Medium,Emotion,Edvard Munch,1893,,Expressionism,"National Museum, Oslo",1OH5G_AxUyzrXH1Sm7E0mgKh-6Qkyboyq,https://drive.google.com/thumbnail?id=1OH5G_AxUyzrXH1Sm7E0mgKh-6Qkyboyq&sz=w200,TRUE
,Girl with a Pearl Earring,https://upload.wikimedia.org/wikipedia/commons/d/d7/Meisje_met_de_parel.jpg,https://drive.google.com/file/d/1Dg7arENQKaM-c7g21iKjilE7QefUuJdi/view?usp=drivesdk,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Meisje_met_de_parel.jpg/120px-Meisje_met_de_parel.jpg,,Portrait,Easy,Portrait,Johannes Vermeer,1665,,Baroque,"Mauritshuis, The Hague",1Dg7arENQKaM-c7g21iKjilE7QefUuJdi,https://drive.google.com/thumbnail?id=1Dg7arENQKaM-c7g21iKjilE7QefUuJdi&sz=w200,TRUE
,Guernica,https://upload.wikimedia.org/wikipedia/en/7/74/PicassoGuernica.jpg,https://drive.google.com/file/d/12VrveOHJ5745-OShhiIHrfqHJxaVoiza/view?usp=drivesdk,,,Landscape,Hard,War,Pablo Picasso,1937,,Cubism,"Museo Reina Sofía, Madrid",12VrveOHJ5745-OShhiIHrfqHJxaVoiza,https://drive.google.com/thumbnail?id=12VrveOHJ5745-OShhiIHrfqHJxaVoiza&sz=w200,TRUE
,The Persistence of Memory,https://upload.wikimedia.org/wikipedia/en/d/dd/The_Persistence_of_Memory.jpg,https://drive.google.com/file/d/1KpVQd0QTo4MnrVnQBGuc_kzh0ZuQyWl1/view?usp=drivesdk,,,Landscape,Medium,Time / Dream,Salvador Dalí,1931,,Surrealism,"Museum of Modern Art, New York",1KpVQd0QTo4MnrVnQBGuc_kzh0ZuQyWl1,https://drive.google.com/thumbnail?id=1KpVQd0QTo4MnrVnQBGuc_kzh0ZuQyWl1&sz=w200,TRUE
,American Gothic,https://upload.wikimedia.org/wikipedia/commons/0/0a/Grant_Wood_-_American_Gothic_-_Google_Art_Project.jpg,https://drive.google.com/file/d/1lUlHWyCqEXgoDTQZaliTUIRang2eqrtr/view?usp=drivesdk,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Grant_Wood_-_American_Gothic_-_Google_Art_Project.jpg/120px-Grant_Wood_-_American_Gothic_-_Google_Art_Project.jpg,,Portrait,Easy,Rural Life,Grant Wood,1930,,Regionalism,Art Institute of Chicago,1lUlHWyCqEXgoDTQZaliTUIRang2eqrtr,https://drive.google.com/thumbnail?id=1lUlHWyCqEXgoDTQZaliTUIRang2eqrtr&sz=w200,TRUE
,The Night Watch,https://upload.wikimedia.org/wikipedia/commons/2/28/The_Nightwatch_by_Rembrandt.jpg,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/The_Nightwatch_by_Rembrandt.jpg/120px-The_Nightwatch_by_Rembrandt.jpg,,Landscape,Hard,Historical,Rembrandt,1642,,Baroque,"Rijksmuseum, Amsterdam",,,TRUE
,The Birth of Venus,https://upload.wikimedia.org/wikipedia/commons/1/1c/Birth_of_Venus_Botticelli.jpg,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Birth_of_Venus_Botticelli.jpg/120px-Birth_of_Venus_Botticelli.jpg,,Landscape,Medium,Mythology,Sandro Botticelli,1486,,Renaissance,"Uffizi Gallery, Florence",,,TRUE
,Mona Lisa,https://upload.wikimedia.org/wikipedia/commons/6/6a/Mona_Lisa.jpg,https://drive.google.com/file/d/13ByLt0Kh9D8vFe0jNi8qNPJJrhcf-Ej6/view?usp=drivesdk,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Mona_Lisa.jpg/120px-Mona_Lisa.jpg,,Portrait,Medium,Portrait,Leonardo da Vinci,1503,,Renaissance,"Louvre, Paris",13ByLt0Kh9D8vFe0jNi8qNPJJrhcf-Ej6,https://drive.google.com/thumbnail?id=13ByLt0Kh9D8vFe0jNi8qNPJJrhcf-Ej6&sz=w200,TRUE
,The Last Supper,https://upload.wikimedia.org/wikipedia/commons/4/4b/Leonardo_da_Vinci_-_The_Last_Supper_high_res.jpg,https://drive.google.com/file/d/10BjuseXvqkrCOTDVcXiJlqPsHrSPb4O2/view?usp=drivesdk,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Leonardo_da_Vinci_-_The_Last_Supper_high_res.jpg/120px-Leonardo_da_Vinci_-_The_Last_Supper_high_res.jpg,,Landscape,Hard,Religious,Leonardo da Vinci,1498,,Renaissance,"Santa Maria delle Grazie, Milan",10BjuseXvqkrCOTDVcXiJlqPsHrSPb4O2,https://drive.google.com/thumbnail?id=10BjuseXvqkrCOTDVcXiJlqPsHrSPb4O2&sz=w200,TRUE
,The Starry Night,https://upload.wikimedia.org/wikipedia/commons/e/ea/The_Starry_Night.jpg,https://drive.google.com/file/d/1t266ZMdLKdwGVNAWCQr_FHchJAf_FDeq/view?usp=drivesdk,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/The_Starry_Night.jpg/120px-The_Starry_Night.jpg,,Landscape,Medium,Night / Emotion,Vincent van Gogh,1889,,Post-Impressionism,"Museum of Modern Art, New York",1t266ZMdLKdwGVNAWCQr_FHchJAf_FDeq,https://drive.google.com/thumbnail?id=1t266ZMdLKdwGVNAWCQr_FHchJAf_FDeq&sz=w200,TRUE
,The Scream,https://upload.wikimedia.org/wikipedia/commons/f/f4/The_Scream.jpg,https://drive.google.com/file/d/1OH5G_AxUyzrXH1Sm7E0mgKh-6Qkyboyq/view?usp=drivesdk,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/The_Scream.jpg/120px-The_Scream.jpg,,Portrait,Medium,Emotion,Edvard Munch,1893,,Expressionism,"National Museum, Oslo",1OH5G_AxUyzrXH1Sm7E0mgKh-6Qkyboyq,https://drive.google.com/thumbnail?id=1OH5G_AxUyzrXH1Sm7E0mgKh-6Qkyboyq&sz=w200,TRUE
,Girl with a Pearl Earring,https://upload.wikimedia.org/wikipedia/commons/d/d7/Meisje_met_de_parel.jpg,https://drive.google.com/file/d/1Dg7arENQKaM-c7g21iKjilE7QefUuJdi/view?usp=drivesdk,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Meisje_met_de_parel.jpg/120px-Meisje_met_de_parel.jpg,,Portrait,Easy,Portrait,Johannes Vermeer,1665,,Baroque,"Mauritshuis, The Hague",1Dg7arENQKaM-c7g21iKjilE7QefUuJdi,https://drive.google.com/thumbnail?id=1Dg7arENQKaM-c7g21iKjilE7QefUuJdi&sz=w200,TRUE
,Guernica,https://upload.wikimedia.org/wikipedia/en/7/74/PicassoGuernica.jpg,https://drive.google.com/file/d/12VrveOHJ5745-OShhiIHrfqHJxaVoiza/view?usp=drivesdk,,,Landscape,Hard,War,Pablo Picasso,1937,,Cubism,"Museo Reina Sofía, Madrid",12VrveOHJ5745-OShhiIHrfqHJxaVoiza,https://drive.google.com/thumbnail?id=12VrveOHJ5745-OShhiIHrfqHJxaVoiza&sz=w200,TRUE
,The Persistence of Memory,https://upload.wikimedia.org/wikipedia/en/d/dd/The_Persistence_of_Memory.jpg,https://drive.google.com/file/d/1KpVQd0QTo4MnrVnQBGuc_kzh0ZuQyWl1/view?usp=drivesdk,,,Landscape,Medium,Time / Dream,Salvador Dalí,1931,,Surrealism,"Museum of Modern Art, New York",1KpVQd0QTo4MnrVnQBGuc_kzh0ZuQyWl1,https://drive.google.com/thumbnail?id=1KpVQd0QTo4MnrVnQBGuc_kzh0ZuQyWl1&sz=w200,TRUE
,American Gothic,https://upload.wikimedia.org/wikipedia/commons/0/0a/Grant_Wood_-_American_Gothic_-_Google_Art_Project.jpg,https://drive.google.com/file/d/1lUlHWyCqEXgoDTQZaliTUIRang2eqrtr/view?usp=drivesdk,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Grant_Wood_-_American_Gothic_-_Google_Art_Project.jpg/120px-Grant_Wood_-_American_Gothic_-_Google_Art_Project.jpg,,Portrait,Easy,Rural Life,Grant Wood,1930,,Regionalism,Art Institute of Chicago,1lUlHWyCqEXgoDTQZaliTUIRang2eqrtr,https://drive.google.com/thumbnail?id=1lUlHWyCqEXgoDTQZaliTUIRang2eqrtr&sz=w200,TRUE
